6-Cypress Avenue
6-East 143rd Street–St. Mary's Street
6-East 149th Street
6-Elder Avenue
6-Grand Central–42nd Street
6-Hunts Point Avenue
6-Longwood Avenue
6-Middletown Road
6-Morrison Avenue–Soundview
6-Parkchester
6-Pelham Bay Park
6-Spring Street
6-St. Lawrence Avenue
6-Third Avenue–138th Street
6-Westchester Square–East Tremont Avenue
6-Whitlock Avenue
6-Zerega Avenue
7-103rd Street–Corona Plaza
7-111th Street
7-33rd Street–Rawson Street
7-34th Street–Hudson Yards
7-40th Street–Lowery Street
7-46th Street–Bliss Street
7-52nd Street
7-61st Street–Woodside
7-69th Street
7-74th Street–Broadway
7-82nd Street–Jackson Heights
7-90th Street–Elmhurst Avenue
7-Court Square
7-Fifth Avenue
7-Flushing–Main Street
7-Grand Central
7-Hunters Point Avenue
7-Junction Boulevard
7-Mets–Willets Point
7-Queensboro Plaza
7-Times Square
7-Vernon Boulevard–Jackson Avenue
A-103rd Street
A-104th Street
A-111th Street
A-116th Street
A-125th Street
A-135th Street
A-145th Street
A-14th Street
A-155th Street
A-163rd Street–Amsterdam Avenue
A-168th Street
A-175th Street
A-181st Street
A-190th Street
A-23rd Street
A-34th Street–Penn Station
A-42nd Street–Port Authority Bus Terminal
A-50th Street
A-59th Street–Columbus Circle
A-72nd Street
A-80th Street
A-81st Street–Museum of Natural History
A-86th Street
A-88th Street
A-96th Street
A-Aqueduct–North Conduit Avenue
A-Aqueduct Racetrack
A-Beach 105th Street
A-Beach 25th Street
A-Beach 36th Street
A-Beach 44th Street
A-Beach 60th Street
A-Beach 67th Street
A-Beach 90th Street
A-Beach 98th Street
A-Broad Channel
A-Broadway Junction
A-Canal Street
A-Cathedral Parkway–110th Street
A-Chambers Street
A-Clinton–Washington Avenues
A-Dyckman Street
A-Euclid Avenue
A-Far Rockaway–Mott Avenue
A-Franklin Avenue
A-Fulton Street
A-Grant Avenue
A-High Street
A-Howard Beach–JFK Airport
A-Hoyt–Schermerhorn Streets
A-Inwood–207th Street
A-Jay Street–MetroTech
A-Kingston–Throop Avenues
A-Lafayette Avenue
A-Liberty Avenue
A-Nostrand Avenue
A-Ozone Park–Lefferts Boulevard
A-Ralph Avenue
A-Rockaway Avenue
A-Rockaway Boulevard
A-Rockaway Park–Beach 116th Street
A-Shepherd Avenue
A-Spring Street
A-Utica Avenue
A-Van Siclen Avenue
A-West Fourth Street–Washington Square
B-103rd Street
B-116th Street
B-125th Street
B-135th Street
B-145th Street
B-155th Street
B-161st Street–Yankee Stadium
B-167th Street
B-170th Street
B-174th–175th Streets
B-182nd–183rd Streets
B-34th Street–Herald Square
B-42nd Street–Bryant Park
B-47th–50th Streets–Rockefeller Center
B-59th Street–Columbus Circle
B-72nd Street
B-81st Street–Museum of Natural History
B-86th Street
B-96th Street
B-Atlantic Avenue–Barclays Center
B-Bedford Park Boulevard
B-Brighton Beach
B-Broadway–Lafayette Street
B-Cathedral Parkway–110th Street
B-Church Avenue
B-DeKalb Avenue
B-Fordham Road
B-Grand Street
B-Kingsbridge Road
B-Kings Highway
B-lower level
B-Newkirk Plaza
B-Prospect Park
B-Seventh Avenue–53rd Street
B-Seventh Avenue–Flatbush Avenue
B-Sheepshead Bay
B-Tremont Avenue
B-West Fourth Street–Washington Square
C-103rd Street
C-116th Street
C-125th Street
C-135th Street
C-145th Street
C-14th Street
C-155th Street
C-163rd Street–Amsterdam Avenue
C-168th Street
C-23rd Street
C-34th Street–Penn Station
C-42nd Street–Port Authority Bus Terminal
C-50th Street
C-59th Street–Columbus Circle
C-72nd Street
C-81st Street–Museum of Natural History
C-86th Street
C-96th Street
C-Broadway Junction
C-Canal Street
C-Cathedral Parkway–110th Street
C-Chambers Street
C-Clinton–Washington Avenues
C-Euclid Avenue
C-Franklin Avenue
C-Fulton Street
C-High Street
C-Hoyt–Schermerhorn Streets
C-Jay Street–MetroTech
C-Kingston–Throop Avenues
C-Lafayette Avenue
C-Liberty Avenue
C-Nostrand Avenue
C-Ralph Avenue
C-Rockaway Avenue
C-Shepherd Avenue
C-Spring Street
C-Utica Avenue
C-Van Siclen Avenue
C-West Fourth Street–Washington Square
D-125th Street
D-145th Street
D-155th Street
D-161st Street–Yankee Stadium
D-167th Street
D-170th Street
D-174th–175th Streets
D-182nd–183rd Streets
D-18th Avenue
D-20th Avenue
D-25th Avenue
D-25th Street
D-34th Street–Herald Square
D-36th Street
D-42nd Street–Bryant Park
D-47th–50th Streets–Rockefeller Center
D-50th Street
D-55th Street
D-59th Street–Columbus Circle
D-62nd Street
D-71st Street
D-79th Street
D-Atlantic Avenue–Barclays Center
D-Bay 50th Street
D-Bay Parkway
D-Bedford Park Boulevard
D-Broadway–Lafayette Street
D-Coney Island–Stillwell Avenue
D-DeKalb Avenue
D-Fordham Road
D-Fort Hamilton Parkway
D-Grand Street
D-Kingsbridge Road
D-lower level
D-Ninth Avenue
D-Ninth Street
D-Norwood–205th Street
D-Prospect Avenue
D-Seventh Avenue
D-Tremont Avenue
D-Union Street
D-West Fourth Street–Washington Square
E-14th Street
E-23rd Street
E-34th Street–Penn Station
E-36th Street
E-42nd Street–Port Authority Bus Terminal
E-46th Street
E-50th Street
E-63rd Drive–Rego Park
E-65th Street
E-67th Avenue
E-75th Avenue
E-Briarwood
E-Canal Street
E-Court Square–23rd Street
E-Elmhurst Avenue
E-Fifth Avenue/53rd Street
E-Forest Hills–71st Avenue
E-Grand Avenue–Newtown
E-Jackson Heights–Roosevelt Avenue
E-Jamaica–179th Street
E-Jamaica Center–Parsons/Archer
E-Jamaica–Van Wyck
E-Kew Gardens–Union Turnpike
E-Lexington Avenue–53rd Street
E-Northern Boulevard
E-Parsons Boulevard
E-Queens Plaza
E-Seventh Avenue
E-Spring Street
E-Steinway Street
E-Sutphin Boulevard–Archer Avenue–JFK Airport
E-West Fourth Street–Washington Square
E-Woodhaven Boulevard
E-World Trade Center
F-14th Street
F-15th Street–Prospect Park
F-169th Street
F-18th Avenue
F-21st Street–Queensbridge
F-23rd Street
F-34th Street–Herald Square
F-42nd Street–Bryant Park
F-47th–50th Streets–Rockefeller Center
F-57th Street
F-59th Street
F-75th Avenue
F-Avenue I
F-Avenue N
F-Avenue P
F-Avenue U
F-Avenue X
F-Bay Parkway
F-Bergen Street
F-Briarwood
F-Broadway–Lafayette Street
F-Carroll Street
F-Church Avenue
F-Coney Island–Stillwell Avenue
F-Delancey Street
F-Ditmas Avenue
F-East Broadway
F-Forest Hills–71st Avenue
F-Fort Hamilton Parkway
F-Fourth Avenue
F-Jackson Heights–Roosevelt Avenue
F-Jamaica–179th Street
F-Jay Street–MetroTech
F-Kew Gardens–Union Turnpike
F-Kings Highway
F-Lexington Avenue–63rd Street
F-Neptune Avenue
F-Parsons Boulevard
F-Roosevelt Island
F-Second Avenue
F-Seventh Avenue
F-Smith–Ninth Streets
F-Sutphin Boulevard
F-West Eighth Street–New York Aquarium
F-West Fourth Street–Washington Square
F-York Street
G-15th Street–Prospect Park
G-21st Street
G-Bedford–Nostrand Avenues
G-Bergen Street
G-Broadway
G-Carroll Street
G-Church Avenue
G-Classon Avenue
G-Clinton–Washington Avenues
G-Court Square
G-Court Square–23rd Street
G-Flushing Avenue
G-Fort Hamilton Parkway
G-Fourth Avenue
G-Fulton Street
G-Greenpoint Avenue
G-Hoyt–Schermerhorn Streets
G-Metropolitan Avenue
G-Myrtle–Willoughby Avenues
G-Nassau Avenue
G-Seventh Avenue
G-Smith–Ninth Streets
L-Atlantic Avenue
L-Bedford Avenue
L-Broadway Junction
L-Bushwick Avenue–Aberdeen Street
L-Canarsie–Rockaway Parkway
L-DeKalb Avenue
L-East 105th Street
L-Eighth Avenue
L-First Avenue
L-Graham Avenue
L-Grand Street
L-Halsey Street
L-Jefferson Street
L-Livonia Avenue
L-Lorimer Street
L-Montrose Avenue
L-Morgan Avenue
L-Myrtle–Wyckoff Avenues
L-New Lots Avenue
L-Sixth Avenue
L-Sutter Avenue
L-Third Avenue
